         1454933 function calls (1430054 primitive calls) in 1.709 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.128    0.064    0.128    0.064 {built-in method matplotlib._png.write_png}
    22951    0.068    0.000    0.069    0.000 plot_gtex.py:66(binary_search)
    21156    0.055    0.000    0.055    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    26535    0.053    0.000    0.053    0.000 {method 'split' of 'str' objects}
      246    0.045    0.000    0.045    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      284    0.041    0.000    0.041    0.000 {built-in method marshal.loads}
        1    0.040    0.040    0.113    0.113 plot_gtex.py:86(parse_meta)
    21149    0.040    0.000    0.040    0.000 {built-in method numpy.array}
      317    0.034    0.000    0.034    0.000 {built-in method builtins.compile}
       31    0.033    0.001    0.034    0.001 plot_gtex.py:56(linear_search_all_hits)
1242/1189    0.027    0.000    0.053    0.000 {built-in method builtins.__build_class__}
        1    0.027    0.027    1.305    1.305 plot_gtex.py:106(main)
28150/24330    0.025    0.000    0.173    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    18375    0.024    0.000    0.082    0.000 fromnumeric.py:73(_wrapreduction)
    45931    0.023    0.000    0.026    0.000 plot_gtex.py:47(linear_search)
       36    0.016    0.000    0.017    0.000 {built-in method _imp.create_dynamic}
      384    0.015    0.000    0.044    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
3901/2257    0.014    0.000    0.042    0.000 transforms.py:2457(get_affine)
    635/1    0.014    0.000    1.712    1.712 {built-in method builtins.exec}
      334    0.013    0.000    0.013    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      510    0.013    0.000    0.133    0.000 lines.py:721(draw)
    19621    0.012    0.000    0.012    0.000 __init__.py:870(__getitem__)
      434    0.011    0.000    0.157    0.000 _base.py:2436(handle_single_axis)
19568/14201    0.011    0.000    0.022    0.000 artist.py:225(stale)
      651    0.010    0.000    0.058    0.000 transforms.py:739(intersection)
      132    0.010    0.000    0.016    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
47249/47245    0.010    0.000    0.018    0.000 {built-in method builtins.isinstance}
    26919    0.009    0.000    0.011    0.000 {built-in method builtins.getattr}
     1029    0.009    0.000    0.009    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
     1319    0.009    0.000    0.011    0.000 transforms.py:2861(nonsingular)
       82    0.009    0.000    0.009    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      629    0.009    0.000    0.087    0.000 text.py:280(_get_layout)
     3019    0.009    0.000    0.027    0.000 transforms.py:757(__init__)
   131113    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
    18375    0.008    0.000    0.008    0.000 fromnumeric.py:74(<dictcomp>)
      871    0.007    0.000    0.018    0.000 numeric.py:2256(within_tol)
4850/2276    0.007    0.000    0.008    0.000 transforms.py:134(_invalidate_internal)
  475/203    0.007    0.000    0.018    0.000 sre_parse.py:491(_parse)
    11540    0.007    0.000    0.007    0.000 {built-in method builtins.hasattr}
       82    0.007    0.000    0.007    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
    11268    0.007    0.000    0.007    0.000 transforms.py:83(__init__)
     7214    0.007    0.000    0.038    0.000 fromnumeric.py:2629(amin)
      751    0.007    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1215(find_spec)
101111/100676    0.007    0.000    0.007    0.000 {built-in method builtins.len}
      385    0.007    0.000    0.056    0.000 lines.py:277(__init__)
     3062    0.006    0.000    0.032    0.000 transforms.py:1056(get_points)
     1526    0.006    0.000    0.006    0.000 {built-in method posix.stat}
     7221    0.006    0.000    0.034    0.000 fromnumeric.py:2504(amax)
      349    0.006    0.000    0.033    0.000 lines.py:637(recache)
     4350    0.006    0.000    0.006    0.000 {method 'copy' of 'numpy.ndarray' objects}
     1030    0.006    0.000    0.013    0.000 path.py:193(_update_values)
     7157    0.005    0.000    0.023    0.000 _asarray.py:16(asarray)
    31407    0.005    0.000    0.005    0.000 {method 'rstrip' of 'str' objects}
     5170    0.005    0.000    0.013    0.000 transforms.py:1870(__init__)
     5080    0.005    0.000    0.017    0.000 <__array_function__ internals>:2(dot)
 1742/877    0.005    0.000    0.012    0.000 units.py:140(get_converter)
     1819    0.005    0.000    0.058    0.000 transforms.py:1407(transform)
