         1454922 function calls (1430042 primitive calls) in 20.247 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    68882   17.707    0.000   17.714    0.000 plot_gtex.py:47(linear_search)
        2    0.170    0.085    0.170    0.085 {built-in method matplotlib._png.write_png}
        1    0.111    0.111   19.636   19.636 plot_gtex.py:98(main)
    21156    0.091    0.000    0.091    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    26535    0.078    0.000    0.078    0.000 {method 'split' of 'str' objects}
      284    0.065    0.000    0.065    0.000 {built-in method marshal.loads}
       31    0.065    0.002    0.067    0.002 plot_gtex.py:54(linear_search_all_hits)
        1    0.063    0.063    0.172    0.172 plot_gtex.py:80(parse_meta)
    21149    0.060    0.000    0.060    0.000 {built-in method numpy.array}
      246    0.045    0.000    0.045    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
    18375    0.041    0.000    0.136    0.000 fromnumeric.py:73(_wrapreduction)
28150/24330    0.040    0.000    0.292    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      317    0.037    0.000    0.037    0.000 {built-in method builtins.compile}
1242/1189    0.031    0.000    0.091    0.000 {built-in method builtins.__build_class__}
       36    0.024    0.001    0.026    0.001 {built-in method _imp.create_dynamic}
      434    0.021    0.000    0.306    0.001 _base.py:2436(handle_single_axis)
    635/1    0.020    0.000   20.251   20.251 {built-in method builtins.exec}
    19621    0.019    0.000    0.019    0.000 __init__.py:870(__getitem__)
      384    0.018    0.000    0.050    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
19568/14201    0.018    0.000    0.038    0.000 artist.py:225(stale)
3901/2257    0.018    0.000    0.052    0.000 transforms.py:2457(get_affine)
      334    0.017    0.000    0.017    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     1319    0.016    0.000    0.022    0.000 transforms.py:2861(nonsingular)
        1    0.016    0.016    0.016    0.016 legend_handler.py:336(HandlerRegularPolyCollection)
   131113    0.015    0.000    0.015    0.000 {method 'append' of 'list' objects}
    26919    0.015    0.000    0.018    0.000 {built-in method builtins.getattr}
47249/47245    0.015    0.000    0.033    0.000 {built-in method builtins.isinstance}
      510    0.015    0.000    0.150    0.000 lines.py:721(draw)
      651    0.015    0.000    0.082    0.000 transforms.py:739(intersection)
      871    0.014    0.000    0.032    0.000 numeric.py:2256(within_tol)
     3019    0.013    0.000    0.042    0.000 transforms.py:757(__init__)
      385    0.013    0.000    0.107    0.000 lines.py:277(__init__)
101111/100676    0.012    0.000    0.012    0.000 {built-in method builtins.len}
4850/2276    0.012    0.000    0.013    0.000 transforms.py:134(_invalidate_internal)
      132    0.012    0.000    0.017    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    18375    0.011    0.000    0.011    0.000 fromnumeric.py:74(<dictcomp>)
     7214    0.011    0.000    0.061    0.000 fromnumeric.py:2629(amin)
    11540    0.011    0.000    0.011    0.000 {built-in method builtins.hasattr}
  475/203    0.011    0.000    0.027    0.000 sre_parse.py:491(_parse)
     1029    0.011    0.000    0.011    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
      349    0.011    0.000    0.058    0.000 lines.py:637(recache)
    11268    0.010    0.000    0.010    0.000 transforms.py:83(__init__)
     1526    0.010    0.000    0.010    0.000 {built-in method posix.stat}
      629    0.010    0.000    0.091    0.000 text.py:280(_get_layout)
     7221    0.010    0.000    0.053    0.000 fromnumeric.py:2504(amax)
      751    0.010    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1215(find_spec)
     5329    0.009    0.000    0.018    0.000 abc.py:178(__instancecheck__)
 1742/877    0.009    0.000    0.025    0.000 units.py:140(get_converter)
     1030    0.009    0.000    0.021    0.000 path.py:193(_update_values)
       82    0.009    0.000    0.009    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     4350    0.009    0.000    0.009    0.000 {method 'copy' of 'numpy.ndarray' objects}
      871    0.009    0.000    0.075    0.000 numeric.py:2179(isclose)
    26543    0.008    0.000    0.008    0.000 artist.py:962(sticky_edges)
    31407    0.008    0.000    0.008    0.000 {method 'rstrip' of 'str' objects}
     7157    0.008    0.000    0.035    0.000 _asarray.py:16(asarray)
     7214    0.007    0.000    0.074    0.000 <__array_function__ internals>:2(amin)
      434    0.007    0.000    0.012    0.000 _base.py:2445(<listcomp>)
     3062    0.007    0.000    0.036    0.000 transforms.py:1056(get_points)
       82    0.007    0.000    0.007    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
      284    0.007    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:816(get_data)
      217    0.007    0.000    0.015    0.000 _base.py:2426(<listcomp>)
     7983    0.007    0.000    0.007    0.000 _weakrefset.py:70(__contains__)
     5170    0.007    0.000    0.016    0.000 transforms.py:1870(__init__)
     7221    0.007    0.000    0.064    0.000 <__array_function__ internals>:2(amax)
     5080    0.007    0.000    0.023    0.000 <__array_function__ internals>:2(dot)
      703    0.007    0.000    0.025    0.000 artist.py:885(update)
      615    0.006    0.000    0.014    0.000 inspect.py:2065(_signature_from_function)
      856    0.006    0.000    0.007    0.000 {built-in method matplotlib._path.update_path_extents}
     3109    0.006    0.000    0.041    0.000 transforms.py:336(xmin)
     6775    0.006    0.000    0.012    0.000 transforms.py:1725(__init__)
     1819    0.006    0.000    0.073    0.000 transforms.py:1407(transform)
      468    0.006    0.000    0.126    0.000 transforms.py:726(union)
  870/188    0.006    0.000    0.015    0.000 sre_compile.py:64(_compile)
     4000    0.006    0.000    0.060    0.000 re.py:278(_compile)
      570    0.006    0.000    0.009    0.000 artist.py:82(__init__)
      547    0.006    0.000    0.012    0.000 transforms.py:697(translated)
      856    0.006    0.000    0.016    0.000 transforms.py:855(update_from_path)
      217    0.006    0.000    0.007    0.000 __init__.py:1646(normalize_kwargs)
      284    0.006    0.000    0.006    0.000 {method 'read' of '_io.FileIO' objects}
       27    0.006    0.000    0.026    0.001 __init__.py:978(_rc_params_in_file)
      284    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:419(_validate_bytecode_header)
     1806    0.005    0.000    0.013    0.000 _ufunc_config.py:39(seterr)
    17092    0.005    0.000    0.005    0.000 transforms.py:977(get_points)
     3109    0.005    0.000    0.032    0.000 transforms.py:350(xmax)
     3116    0.005    0.000    0.031    0.000 transforms.py:357(ymax)
       90    0.005    0.000    0.087    0.001 text.py:694(draw)
      567    0.005    0.000    0.113    0.000 text.py:892(get_window_extent)
        2    0.005    0.003    0.224    0.112 _base.py:4328(get_tightbbox)
        3    0.005    0.002    0.022    0.007 font_manager.py:1198(_findfont_cached)
      217    0.005    0.000    0.341    0.002 _base.py:2401(autoscale_view)
     3109    0.005    0.000    0.032    0.000 transforms.py:343(ymin)
     1331    0.005    0.000    0.008    0.000 font_manager.py:621(__hash__)
     5002    0.005    0.000    0.017    0.000 _asarray.py:88(asanyarray)
      651    0.005    0.000    0.073    0.000 lines.py:596(get_window_extent)
     1861    0.005    0.000    0.005    0.000 transforms.py:161(set_children)
      217    0.005    0.000    0.005    0.000 _base.py:2427(<listcomp>)
      576    0.005    0.000    0.021    0.000 inspect.py:1052(getfullargspec)
    19570    0.005    0.000    0.005    0.000 artist.py:728(get_animated)
     3927    0.005    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
     1806    0.005    0.000    0.005    0.000 _ufunc_config.py:139(geterr)
      874    0.005    0.000    0.014    0.000 _base.py:3124(_validate_converted_limits)
      883    0.005    0.000    0.005    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
      320    0.004    0.000    0.009    0.000 transforms.py:1965(rotate)
    24635    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
      217    0.004    0.000    0.004    0.000 _base.py:2428(<listcomp>)
     3927    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
      349    0.004    0.000    0.004    0.000 stride_tricks.py:185(_broadcast_shape)
      349    0.004    0.000    0.052    0.000 <frozen importlib._bootstrap>:879(_find_spec)
     2561    0.004    0.000    0.020    0.000 colors.py:150(to_rgba)
